iter	Passed	Remaining
177	266	1231
178	267	1225
179	267	1219
180	268	1213
181	268	1208
182	269	1202
183	269	1196
184	270	1190
185	270	1185
186	271	1179
187	271	1174
188	272	1168
189	272	1163
190	273	1157
191	273	1152
192	274	1147
193	274	1142
194	275	1137
195	275	1131
196	276	1126
197	276	1121
198	277	1117
199	278	1112
200	278	1107
201	279	1102
202	279	1098
203	280	1093
204	280	1089
205	281	1086
206	282	1081
207	282	1077
208	283	1072
209	283	1068
210	284	1063
211	284	1059
212	285	1054
213	285	1050
214	286	1045
215	286	1041
216	287	1037
217	287	1032
218	288	1028
219	288	1024
220	289	1020
221	289	1015
222	290	1011
223	290	1007
224	291	1004
225	292	1000
226	292	996
227	293	992
228	293	989
229	294	985
230	294	981
231	295	977
232	295	974
233	296	972
234	297	968
235	298	965
236	298	962
237	299	958
238	300	955
239	300	952
240	301	949
241	302	946
242	302	942
243	303	939
244	303	935
245	304	932
246	304	928
247	305	925
248	305	922
249	306	919
250	306	916
251	307	912
252	307	909
253	308	906
254	308	902
255	309	899
256	309	896
257	310	892
258	311	890
259	312	888
260	312	885
261	313	882
262	313	879
263	314	875
264	314	872
265	315	869
266	315	866
267	316	863
268	316	860
269	317	857
270	317	854
271	318	851
272	318	848
273	319	845
274	319	842
275	320	840
276	320	837
277	321	834
278	321	832
279	322	829
280	323	826
281	323	823
282	324	821
283	324	818
284	325	815
285	325	813
286	326	810
287	327	809
288	327	806
289	328	804
290	328	801
291	329	798
292	329	796
293	330	793
294	330	790
295	331	788
296	331	785
297	332	783
298	332	780
299	333	778
300	334	775
301	334	773
302	335	771
303	335	768
304	336	766
305	336	763
306	337	761
307	337	758
308	338	756
309	338	753
310	339	751
311	339	749
312	340	746
313	340	744
314	341	742
315	342	740
316	342	738
317	343	736
318	343	734
319	344	732
320	344	729
321	345	727
322	345	725
323	346	722
324	346	720
325	347	718
326	347	716
327	348	713
328	349	711
329	349	709
330	350	707
331	350	705
332	351	703
333	351	701
334	352	699
335	352	697
336	353	694
337	353	692
338	354	690
339	354	688
340	355	686
341	355	684
342	356	682
343	356	680
344	357	678
345	358	676
346	358	674
347	359	672
348	359	670
349	360	668
350	360	666
351	361	664
352	361	662
353	362	660
354	362	658
355	363	656
356	363	654
357	364	653
358	364	651
359	365	649
360	365	647
361	366	645
362	366	643
363	367	641
364	367	639
365	368	638
366	368	636
367	369	634
368	369	632
369	370	630
370	370	628
371	371	626
372	371	625
373	372	623
374	373	621
375	373	620
376	374	618
377	374	616
378	375	614
379	375	612
380	376	611
381	376	609
382	377	607
383	377	605
384	378	604
385	378	602
386	379	600
387	380	599
388	380	597
389	381	596
390	381	594
391	382	593
392	383	592
393	383	590
394	384	589
395	385	587
396	385	585
397	386	584
398	386	582
399	387	581
400	388	580
401	389	579
402	390	578
403	391	577
404	391	575
405	392	574
406	393	572
407	393	571
408	394	569
409	394	568
410	395	566
411	395	565
412	396	563
413	397	562
414	397	560
415	398	559
416	398	557
417	399	555
418	399	554
419	400	552
420	400	551
421	401	549
422	401	548
423	402	546
424	403	545
425	404	544
426	404	543
427	405	541
428	405	540
429	406	539
430	407	537
431	408	536
432	408	535
433	409	533
434	409	532
435	410	530
436	410	529
437	411	527
438	411	526
439	412	524
440	412	523
441	413	521
442	413	520
443	414	518
444	414	517
445	415	515
446	415	514
447	416	512
448	416	511
449	417	509
450	417	508
451	418	507
452	419	506
453	419	505
454	420	503
455	421	502
456	421	500
457	422	499
458	422	498
459	423	496
460	423	495
461	424	493
462	424	492
463	425	491
464	425	489
465	426	488
466	426	486
467	427	485
468	427	484
469	428	482
470	428	481
471	429	480
472	429	478
473	430	477
474	430	475
475	431	474
476	431	473
477	432	471
478	432	470
479	433	469
480	434	468
481	435	467
482	435	466
483	436	465
484	436	463
485	437	462
486	437	461
487	438	459
488	438	458
489	439	457
490	439	455
491	440	454
492	440	453
493	441	451
494	441	450
495	442	449
496	442	448
497	443	446
498	443	445
499	444	444
500	445	443
501	445	442
502	446	440
503	446	439
504	447	438
505	447	437
506	448	435
507	449	435
508	449	434
509	450	432
510	451	431
511	451	430
512	452	429
513	452	427
514	453	426
515	453	425
516	454	424
517	454	422
518	455	421
519	455	420
520	456	419
521	456	418
522	457	416
523	457	415
524	458	414
525	458	413
526	459	412
527	459	410
528	460	409
529	460	408
530	461	407
531	461	406
532	462	404
533	462	403
534	463	402
535	464	401
536	464	400
537	465	399
538	465	398
539	466	397
540	466	396
541	467	394
542	467	393
543	468	392
544	468	391
545	469	390
546	469	389
547	470	388
548	470	386
549	471	385
550	471	384
551	472	383
552	473	382
553	473	381
554	474	380
555	474	378
556	475	377
557	475	376
558	476	375
559	476	374
560	477	373
561	477	372
562	478	371
563	479	370
564	480	369
565	481	368
566	481	367
567	482	366
568	482	365
569	483	364
570	483	363
571	484	362
572	484	361
573	485	360
574	485	358
575	486	357
576	486	356
577	487	355
578	487	354
579	488	353
580	488	352
581	489	351
582	489	350
583	490	349
584	490	348
585	491	347
586	491	345
587	492	344
588	493	344
589	493	343
590	494	342
591	495	341
592	495	340
593	496	339
594	497	338
595	497	337
596	498	336
597	499	335
598	499	334
599	500	333
600	500	332
601	501	331
602	501	330
603	502	329
604	502	328
605	503	327
606	503	326
607	504	325
608	504	324
609	505	323
610	505	321
611	506	320
612	506	319
613	507	318
614	507	317
615	508	316
616	508	315
617	509	314
618	510	314
619	511	313
620	511	312
621	512	311
622	512	310
623	513	309
624	513	308
625	514	307
626	514	306
627	515	305
628	515	304
629	516	303
630	516	302
631	517	301
632	517	300
633	518	299
634	518	298
635	519	297
636	519	296
637	520	295
638	521	294
639	521	293
640	522	292
641	523	291
642	523	290
643	524	289
644	525	289
645	526	288
646	526	287
647	527	286
648	528	285
649	529	285
650	530	284
651	530	283
652	531	282
653	532	281
654	532	280
655	533	279
656	533	278
657	534	277
658	535	276
659	535	276
660	536	275
661	536	274
662	537	273
663	538	272
664	538	271
665	539	270
666	540	269
667	540	268
668	541	267
669	542	267
670	542	266
671	543	265
672	543	264
673	544	263
674	545	262
675	545	261
676	546	260
677	546	259
678	547	258
679	547	257
680	548	256
681	549	255
682	549	255
683	550	254
684	550	253
685	551	252
686	552	251
687	552	250
688	553	249
689	554	248
690	554	248
691	555	247
692	556	246
693	557	245
694	557	244
695	558	243
696	558	242
697	559	242
698	560	241
699	560	240
700	561	239
701	562	238
702	562	237
703	563	236
704	563	235
705	564	234
706	564	234
707	565	233
708	565	232
709	566	231
710	566	230
711	567	229
712	567	228
713	568	227
714	568	226
715	569	225
716	569	224
717	570	224
718	571	223
719	571	222
720	572	221
721	573	220
722	573	219
723	574	218
724	575	218
725	575	217
726	576	216
727	577	215
728	577	214
729	578	213
730	578	212
731	579	212
732	579	211
733	580	210
734	580	209
735	581	208
736	581	207
737	582	206
738	582	205
739	583	204
740	583	204
741	584	203
742	584	202
743	585	201
744	585	200
745	586	199
746	587	198
747	588	198
748	588	197
749	589	196
750	589	195
751	590	194
752	591	194
753	592	193
754	592	192
755	593	191
756	593	190
757	594	189
758	594	188
759	595	188
760	595	187
761	596	186
762	596	185
763	597	184
764	597	183
765	598	182
766	598	181
767	599	181
768	599	180
769	600	179
770	601	178
771	602	177
772	602	177
773	603	176
774	604	175
775	604	174
776	605	173
777	606	172
778	606	172
779	607	171
780	607	170
781	608	169
782	608	168
783	609	167
784	609	167
785	610	166
786	610	165
787	611	164
788	611	163
789	612	162
790	612	161
791	613	161
792	613	160
793	614	159
794	614	158
795	615	157
796	615	156
797	616	156
798	617	155
799	618	154
800	618	153
801	619	152
802	620	152
803	620	151
804	621	150
805	622	149
806	622	148
807	623	148
808	623	147
809	624	146
810	624	145
811	625	144
812	625	143
813	626	143
814	626	142
815	627	141
816	627	140
817	628	139
818	628	138
819	629	138
820	629	137
821	630	136
822	630	135
823	631	134
824	632	134
825	633	133
826	633	132
827	634	131
828	634	130
829	635	130
830	636	129
831	637	128
832	637	127
833	638	127
834	638	126
835	639	125
836	639	124
837	640	123
838	640	122
839	641	122
840	641	121
841	642	120
842	642	119
843	643	118
844	643	118
845	644	117
846	644	116
847	645	115
848	645	114
849	646	114
850	647	113
851	648	112
852	648	111
853	649	110
854	649	110
855	650	109
856	651	108
857	652	107
858	652	107
859	653	106
860	653	105
861	654	104
862	654	103
863	655	103
864	655	102
865	656	101
866	656	100
867	657	99
868	657	99
869	658	98
870	658	97
871	659	96
872	659	95
873	660	95
874	660	94
875	661	93
876	662	92
877	663	92
878	663	91
879	664	90
880	664	89
881	665	88
882	665	88
883	666	87
884	666	86
885	667	85
886	667	85
887	668	84
888	668	83
889	669	82
890	669	81
891	670	81
892	670	80
893	671	79
894	671	78
895	672	78
896	673	77
897	674	76
898	674	75
899	675	75
900	675	74
901	676	73
902	676	72
903	677	71
904	677	71
905	678	70
906	679	69
907	679	68
908	680	68
909	680	67
910	681	66
911	681	65
912	682	64
913	682	64
914	683	63
915	683	62
916	684	61
917	684	61
918	685	60
919	685	59
920	686	58
921	687	58
922	687	57
923	688	56
924	689	55
925	689	55
926	690	54
927	691	53
928	691	52
929	692	52
930	693	51
931	693	50
932	694	49
933	694	49
934	695	48
935	695	47
936	696	46
937	696	46
938	697	45
939	697	44
940	698	43
941	699	43
942	699	42
943	700	41
944	700	40
945	701	40
946	701	39
947	702	38
948	702	37
949	703	37
950	704	36
951	704	35
952	705	34
953	706	34
954	706	33
955	707	32
956	707	31
957	708	31
958	708	30
959	709	29
960	709	28
961	710	28
962	710	27
963	711	26
964	711	25
965	712	25
966	712	24
967	713	23
968	713	22
969	714	22
970	715	21
971	715	20
972	716	19
973	716	19
974	717	18
975	717	17
976	718	16
977	719	16
978	720	15
979	720	14
980	721	13
981	721	13
982	722	12
983	722	11
984	723	11
985	723	10
986	724	9
987	724	8
988	725	8
989	725	7
990	726	6
991	726	5
992	727	5
993	727	4
994	728	3
995	729	2
996	729	2
997	730	1
998	730	0
999	731	0
